
serial-no	timestamp	x	y	z
000000007ffe62c2	2018-08-09 06:26:22	-56	223	-157
000000007ffe62c2	2018-08-09 06:26:22	-34	207	-149
000000007ffe62c2	2018-08-09 06:26:23	-21	232	-166
000000007ffe62c2	2018-08-09 06:26:23	-20	218	-155
000000007ffe62c2	2018-08-09 06:26:23	-17	227	-159
000000007ffe62c2	2018-08-09 06:26:24	-21	226	-159
000000007ffe62c2	2018-08-09 06:26:24	-29	216	-155
000000007ffe62c2	2018-08-09 06:26:24	-32	216	-157
000000007ffe62c2	2018-08-09 06:26:24	-35	219	-166
000000007ffe62c2	2018-08-09 06:26:25	-28	217	-157
000000007ffe62c2	2018-08-09 06:26:25	-32	219	-159
000000007ffe62c2	2018-08-09 06:26:25	-35	217	-158
000000007ffe62c2	2018-08-09 06:26:25	-34	215	-155
000000007ffe62c2	2018-08-09 06:26:26	-49	208	-166
000000007ffe62c2	2018-08-09 06:26:26	-51	205	-159
000000007ffe62c2	2018-08-09 06:26:26	-46	202	-159
000000007ffe62c2	2018-08-09 06:26:27	-29	209	-176
000000007ffe62c2	2018-08-09 06:26:27	-32	217	-157
000000007ffe62c2	2018-08-09 06:26:27	-31	216	-164
000000007ffe62c2	2018-08-09 06:26:27	-35	216	-166
000000007ffe62c2	2018-08-09 06:26:28	-32	206	-167
000000007ffe62c2	2018-08-09 06:26:28	-38	210	-176
000000007ffe62c2	2018-08-09 06:26:28	-31	200	-174
000000007ffe62c2	2018-08-09 06:26:28	-34	206	-171
000000007ffe62c2	2018-08-09 06:26:28	-38	205	-173
000000007ffe62c2	2018-08-09 06:26:29	-47	200	-175
000000007ffe62c2	2018-08-09 06:26:29	-48	202	-169
000000007ffe62c2	2018-08-09 06:26:29	-49	204	-173
000000007ffe62c2	2018-08-09 06:26:29	-53	206	-182
000000007ffe62c2	2018-08-09 06:26:30	-43	208	-171
000000007ffe62c2	2018-08-09 06:26:30	-46	205	-171
000000007ffe62c2	2018-08-09 06:26:30	-48	199	-171
000000007ffe62c2	2018-08-09 06:26:31	-49	205	-173
000000007ffe62c2	2018-08-09 06:26:31	-50	208	-169
000000007ffe62c2	2018-08-09 06:26:31	-47	206	-172
000000007ffe62c2	2018-08-09 06:26:31	-44	207	-167
000000007ffe62c2	2018-08-09 06:26:31	-34	210	-173
000000007ffe62c2	2018-08-09 06:26:32	-31	208	-168
000000007ffe62c2	2018-08-09 06:26:32	-35	208	-172
000000007ffe62c2	2018-08-09 06:26:32	-58	217	-169
000000007ffe62c2	2018-08-09 06:26:32	-50	202	-170
000000007ffe62c2	2018-08-09 06:26:33	-54	212	-168
000000007ffe62c2	2018-08-09 06:26:33	-52	203	-172
000000007ffe62c2	2018-08-09 06:26:33	-51	207	-166
000000007ffe62c2	2018-08-09 06:26:33	-51	202	-164
000000007ffe62c2	2018-08-09 06:26:34	-51	214	-166
000000007ffe62c2	2018-08-09 06:26:34	-50	208	-163
000000007ffe62c2	2018-08-09 06:26:34	-41	212	-161
000000007ffe62c2	2018-08-09 06:26:35	-40	213	-163
000000007ffe62c2	2018-08-09 06:26:35	-40	215	-160
000000007ffe62c2	2018-08-09 06:26:35	-45	221	-156
000000007ffe62c2	2018-08-09 06:26:35	-39	222	-156
000000007ffe62c2	2018-08-09 06:26:35	-13	217	-156
000000007ffe62c2	2018-08-09 06:26:36	-34	224	-171
000000007ffe62c2	2018-08-09 06:26:36	-23	222	-155
000000007ffe62c2	2018-08-09 06:26:36	-32	207	-171
000000007ffe62c2	2018-08-09 06:26:36	-29	215	-150
000000007ffe62c2	2018-08-09 06:26:37	-34	215	-167
000000007ffe62c2	2018-08-09 06:26:37	-17	212	-169
000000007ffe62c2	2018-08-09 06:26:37	-25	207	-156
000000007ffe62c2	2018-08-09 06:26:38	-25	205	-177
000000007ffe62c2	2018-08-09 06:26:38	-29	219	-166
000000007ffe62c2	2018-08-09 06:26:38	-18	206	-174
000000007ffe62c2	2018-08-09 06:26:38	-6	214	-168
000000007ffe62c2	2018-08-09 06:26:38	15	177	-161
000000007ffe62c2	2018-08-09 06:26:39	7	221	-187
000000007ffe62c2	2018-08-09 06:26:39	12	219	-169
000000007ffe62c2	2018-08-09 06:26:39	16	207	-174
000000007ffe62c2	2018-08-09 06:26:40	30	199	-181
000000007ffe62c2	2018-08-09 06:26:40	32	230	-169
000000007ffe62c2	2018-08-09 06:26:40	33	209	-171
000000007ffe62c2	2018-08-09 06:26:40	32	220	-174
000000007ffe62c2	2018-08-09 06:26:40	42	234	-177
000000007ffe62c2	2018-08-09 06:26:41	32	218	-163
000000007ffe62c2	2018-08-09 06:26:41	32	227	-154
000000007ffe62c2	2018-08-09 06:26:41	36	214	-204
000000007ffe62c2	2018-08-09 06:26:41	3	250	-149
000000007ffe62c2	2018-08-09 06:26:42	5	241	-150
000000007ffe62c2	2018-08-09 06:26:42	-15	235	-168
000000007ffe62c2	2018-08-09 06:26:42	-2	217	-154
000000007ffe62c2	2018-08-09 06:26:42	-12	229	-159
000000007ffe62c2	2018-08-09 06:26:43	-25	216	-146
000000007ffe62c2	2018-08-09 06:26:43	-31	211	-146
000000007ffe62c2	2018-08-09 06:26:43	-54	233	-179
000000007ffe62c2	2018-08-09 06:26:44	-6	227	-130
000000007ffe62c2	2018-08-09 06:26:44	-41	234	-151
000000007ffe62c2	2018-08-09 06:26:44	-41	222	-127
000000007ffe62c2	2018-08-09 06:26:44	-49	219	-145
000000007ffe62c2	2018-08-09 06:26:45	-49	225	-145
000000007ffe62c2	2018-08-09 06:26:45	-49	225	-144
000000007ffe62c2	2018-08-09 06:26:45	-48	237	-146
000000007ffe62c2	2018-08-09 06:26:45	-58	228	-126
000000007ffe62c2	2018-08-09 06:26:46	-62	248	-123
000000007ffe62c2	2018-08-09 06:26:46	-74	252	-101
000000007ffe62c2	2018-08-09 06:26:47	-49	249	-136
000000007ffe62c2	2018-08-09 06:26:48	-40	225	-124
000000007ffe62c2	2018-08-09 06:26:48	-51	226	-138
000000007ffe62c2	2018-08-09 06:26:48	-39	228	-139
000000007ffe62c2	2018-08-09 06:26:48	-34	246	-143
000000007ffe62c2	2018-08-09 06:26:49	-28	233	-153
000000007ffe62c2	2018-08-09 06:26:49	-20	241	-137
000000007ffe62c2	2018-08-09 06:26:49	-1	229	-133
000000007ffe62c2	2018-08-09 06:26:49	22	261	-133
000000007ffe62c2	2018-08-09 06:26:50	33	252	-146
000000007ffe62c2	2018-08-09 06:26:50	34	247	-119
000000007ffe62c2	2018-08-09 06:26:50	43	244	-151
000000007ffe62c2	2018-08-09 06:26:51	39	253	-145
000000007ffe62c2	2018-08-09 06:26:51	20	240	-138
000000007ffe62c2	2018-08-09 06:26:51	-6	235	-138
000000007ffe62c2	2018-08-09 06:26:51	-26	226	-135
000000007ffe62c2	2018-08-09 06:26:52	-35	235	-127
000000007ffe62c2	2018-08-09 06:26:52	-42	243	-131
000000007ffe62c2	2018-08-09 06:26:52	-47	237	-130
000000007ffe62c2	2018-08-09 06:26:52	-52	226	-136
000000007ffe62c2	2018-08-09 06:26:53	-59	235	-134
000000007ffe62c2	2018-08-09 06:26:53	-66	228	-142
000000007ffe62c2	2018-08-09 06:26:53	-50	232	-127
000000007ffe62c2	2018-08-09 06:26:53	-67	222	-131
000000007ffe62c2	2018-08-09 06:26:54	-77	232	-128
000000007ffe62c2	2018-08-09 06:26:54	-92	216	-120
000000007ffe62c2	2018-08-09 06:26:54	-101	225	-106
000000007ffe62c2	2018-08-09 06:26:54	-65	251	-121
000000007ffe62c2	2018-08-09 06:26:55	-55	231	-114
000000007ffe62c2	2018-08-09 06:26:55	-80	234	-96
000000007ffe62c2	2018-08-09 06:26:55	-92	244	-105
000000007ffe62c2	2018-08-09 06:26:55	-85	242	-105
000000007ffe62c2	2018-08-09 06:26:56	-98	248	-97
000000007ffe62c2	2018-08-09 06:26:56	-68	251	-82
000000007ffe62c2	2018-08-09 06:26:56	-67	262	-93
000000007ffe62c2	2018-08-09 06:26:56	-70	261	-72
000000007ffe62c2	2018-08-09 06:26:57	-76	254	-86
000000007ffe62c2	2018-08-09 06:26:57	-78	262	-80
000000007ffe62c2	2018-08-09 06:26:57	-82	258	-86
000000007ffe62c2	2018-08-09 06:26:57	-92	246	-83
000000007ffe62c2	2018-08-09 06:26:58	-83	238	-106
000000007ffe62c2	2018-08-09 06:26:58	-83	249	-110
000000007ffe62c2	2018-08-09 06:26:58	-86	219	-112
000000007ffe62c2	2018-08-09 06:26:58	-92	255	-133
000000007ffe62c2	2018-08-09 06:26:59	-88	213	-130
000000007ffe62c2	2018-08-09 06:26:59	-96	242	-124
000000007ffe62c2	2018-08-09 06:26:59	-87	229	-103
000000007ffe62c2	2018-08-09 06:26:59	-90	237	-146
000000007ffe62c2	2018-08-09 06:27:00	-88	221	-139
000000007ffe62c2	2018-08-09 06:27:00	-87	215	-137
000000007ffe62c2	2018-08-09 06:27:00	-82	196	-133
000000007ffe62c2	2018-08-09 06:27:00	-90	249	-147
000000007ffe62c2	2018-08-09 06:27:01	-93	222	-152
000000007ffe62c2	2018-08-09 06:27:01	-82	231	-120
000000007ffe62c2	2018-08-09 06:27:01	-62	208	-119
000000007ffe62c2	2018-08-09 06:27:01	-85	207	-134
000000007ffe62c2	2018-08-09 06:27:02	-95	227	-144
000000007ffe62c2	2018-08-09 06:27:02	-72	221	-125
000000007ffe62c2	2018-08-09 06:27:02	-37	240	-145
000000007ffe62c2	2018-08-09 06:27:02	-19	238	-139
000000007ffe62c2	2018-08-09 06:27:03	-24	220	-145
000000007ffe62c2	2018-08-09 06:27:03	-29	226	-150
000000007ffe62c2	2018-08-09 06:27:03	-50	266	-165
000000007ffe62c2	2018-08-09 06:27:03	-84	242	-113
000000007ffe62c2	2018-08-09 06:27:04	-71	176	-136
000000007ffe62c2	2018-08-09 06:27:04	-55	159	-110
000000007ffe62c2	2018-08-09 06:27:04	-82	246	-144
000000007ffe62c2	2018-08-09 06:27:04	-70	229	-153
000000007ffe62c2	2018-08-09 06:27:05	-62	189	-140
000000007ffe62c2	2018-08-09 06:27:05	-72	232	-138
000000007ffe62c2	2018-08-09 06:27:05	-66	213	-150
000000007ffe62c2	2018-08-09 06:27:05	-71	207	-122
000000007ffe62c2	2018-08-09 06:27:06	-83	243	-154
000000007ffe62c2	2018-08-09 06:27:06	-62	221	-121
000000007ffe62c2	2018-08-09 06:27:06	-78	224	-123
000000007ffe62c2	2018-08-09 06:27:06	-65	208	-142
000000007ffe62c2	2018-08-09 06:27:07	-62	223	-127
000000007ffe62c2	2018-08-09 06:27:07	-80	222	-125
000000007ffe62c2	2018-08-09 06:27:07	-71	211	-126
000000007ffe62c2	2018-08-09 06:27:07	-65	235	-142
000000007ffe62c2	2018-08-09 06:27:08	-76	239	-134
000000007ffe62c2	2018-08-09 06:27:08	-79	226	-140
000000007ffe62c2	2018-08-09 06:27:08	-73	211	-146
000000007ffe62c2	2018-08-09 06:27:08	-74	229	-126
000000007ffe62c2	2018-08-09 06:27:09	-57	238	-127
000000007ffe62c2	2018-08-09 06:27:09	-57	218	-120
000000007ffe62c2	2018-08-09 06:27:09	-51	234	-139
000000007ffe62c2	2018-08-09 06:27:09	-50	235	-130
000000007ffe62c2	2018-08-09 06:27:10	-54	233	-133
000000007ffe62c2	2018-08-09 06:27:10	-61	204	-124
000000007ffe62c2	2018-08-09 06:27:11	-49	241	-143
000000007ffe62c2	2018-08-09 06:27:11	-54	218	-137
000000007ffe62c2	2018-08-09 06:27:11	-39	213	-124
000000007ffe62c2	2018-08-09 06:27:11	-36	223	-147
000000007ffe62c2	2018-08-09 06:27:12	-28	229	-140
000000007ffe62c2	2018-08-09 06:27:12	-28	222	-140
000000007ffe62c2	2018-08-09 06:27:12	-33	210	-118
000000007ffe62c2	2018-08-09 06:27:12	-36	240	-164
000000007ffe62c2	2018-08-09 06:27:12	-33	220	-131
000000007ffe62c2	2018-08-09 06:27:13	-24	176	-110
000000007ffe62c2	2018-08-09 06:27:14	12	271	-168
000000007ffe62c2	2018-08-09 06:27:15	16	244	-154
000000007ffe62c2	2018-08-09 06:27:15	17	269	-140
000000007ffe62c2	2018-08-09 06:27:15	12	250	-122
000000007ffe62c2	2018-08-09 06:27:16	6	235	-152
000000007ffe62c2	2018-08-09 06:27:16	26	233	-128
000000007ffe62c2	2018-08-09 06:27:16	34	246	-128
000000007ffe62c2	2018-08-09 06:27:16	26	257	-142
000000007ffe62c2	2018-08-09 06:27:17	38	243	-148
000000007ffe62c2	2018-08-09 06:27:17	33	241	-141
000000007ffe62c2	2018-08-09 06:27:17	32	244	-144
000000007ffe62c2	2018-08-09 06:27:17	40	254	-145
000000007ffe62c2	2018-08-09 06:27:18	53	236	-150
000000007ffe62c2	2018-08-09 06:27:18	38	251	-157
000000007ffe62c2	2018-08-09 06:27:18	11	240	-158
000000007ffe62c2	2018-08-09 06:27:18	-24	223	-161
000000007ffe62c2	2018-08-09 06:27:19	-25	215	-157
000000007ffe62c2	2018-08-09 06:27:19	-29	228	-155
000000007ffe62c2	2018-08-09 06:27:19	-30	218	-157
000000007ffe62c2	2018-08-09 06:27:19	-23	238	-165
000000007ffe62c2	2018-08-09 06:27:20	-19	229	-164
000000007ffe62c2	2018-08-09 06:27:20	-39	224	-176
000000007ffe62c2	2018-08-09 06:27:20	-36	228	-153
000000007ffe62c2	2018-08-09 06:27:20	-62	205	-159
000000007ffe62c2	2018-08-09 06:27:21	-47	235	-175
000000007ffe62c2	2018-08-09 06:27:21	-60	196	-160
000000007ffe62c2	2018-08-09 06:27:21	-43	213	-170
000000007ffe62c2	2018-08-09 06:27:21	-56	220	-179
000000007ffe62c2	2018-08-09 06:27:22	-70	211	-179
000000007ffe62c2	2018-08-09 06:27:22	-74	196	-170
000000007ffe62c2	2018-08-09 06:27:22	-59	197	-194
000000007ffe62c2	2018-08-09 06:27:22	-66	213	-151
000000007ffe62c2	2018-08-09 06:27:23	-60	205	-161
000000007ffe62c2	2018-08-09 06:27:23	-92	232	-145
000000007ffe62c2	2018-08-09 06:27:23	-74	213	-162
000000007ffe62c2	2018-08-09 06:27:23	-86	218	-153
000000007ffe62c2	2018-08-09 06:27:24	-97	241	-146
000000007ffe62c2	2018-08-09 06:27:24	-85	227	-139
000000007ffe62c2	2018-08-09 06:27:24	-45	228	-142
000000007ffe62c2	2018-08-09 06:27:24	-24	218	-137
000000007ffe62c2	2018-08-09 06:27:25	-36	231	-154
000000007ffe62c2	2018-08-09 06:27:25	-37	224	-142
000000007ffe62c2	2018-08-09 06:27:25	-26	240	-142
000000007ffe62c2	2018-08-09 06:27:26	-53	236	-147
000000007ffe62c2	2018-08-09 06:27:26	-61	231	-158
000000007ffe62c2	2018-08-09 06:27:26	-54	228	-145
000000007ffe62c2	2018-08-09 06:27:26	-69	215	-149
000000007ffe62c2	2018-08-09 06:27:27	-62	216	-139
000000007ffe62c2	2018-08-09 06:27:27	-51	232	-144
000000007ffe62c2	2018-08-09 06:27:27	-85	229	-153
000000007ffe62c2	2018-08-09 06:27:27	-72	217	-139
000000007ffe62c2	2018-08-09 06:27:28	-87	221	-134
000000007ffe62c2	2018-08-09 06:27:28	-81	238	-158
000000007ffe62c2	2018-08-09 06:27:28	-74	222	-123
000000007ffe62c2	2018-08-09 06:27:28	-89	229	-149
000000007ffe62c2	2018-08-09 06:27:28	-92	248	-149
000000007ffe62c2	2018-08-09 06:27:29	-78	215	-125
000000007ffe62c2	2018-08-09 06:27:29	-78	230	-152
000000007ffe62c2	2018-08-09 06:27:29	-78	222	-124
000000007ffe62c2	2018-08-09 06:27:30	-79	213	-129
000000007ffe62c2	2018-08-09 06:27:30	-90	234	-145
000000007ffe62c2	2018-08-09 06:27:30	-61	218	-160
000000007ffe62c2	2018-08-09 06:27:30	-9	232	-126
000000007ffe62c2	2018-08-09 06:27:31	-34	261	-175
000000007ffe62c2	2018-08-09 06:27:31	-31	192	-143
000000007ffe62c2	2018-08-09 06:27:31	-34	238	-128
000000007ffe62c2	2018-08-09 06:27:31	-38	225	-136
000000007ffe62c2	2018-08-09 06:27:32	-55	249	-137
000000007ffe62c2	2018-08-09 06:27:32	-62	215	-127
000000007ffe62c2	2018-08-09 06:27:32	-66	240	-158
000000007ffe62c2	2018-08-09 06:27:32	-61	244	-147
000000007ffe62c2	2018-08-09 06:27:33	-71	234	-152
000000007ffe62c2	2018-08-09 06:27:33	-58	232	-147
000000007ffe62c2	2018-08-09 06:27:33	-72	217	-113
000000007ffe62c2	2018-08-09 06:27:33	-58	211	-137
000000007ffe62c2	2018-08-09 06:27:34	-59	200	-124
000000007ffe62c2	2018-08-09 06:27:34	-48	215	-151
000000007ffe62c2	2018-08-09 06:27:34	-60	246	-126
000000007ffe62c2	2018-08-09 06:27:34	-50	227	-153
000000007ffe62c2	2018-08-09 06:27:35	-63	232	-138
000000007ffe62c2	2018-08-09 06:27:35	-53	212	-142
000000007ffe62c2	2018-08-09 06:27:35	-45	209	-146
000000007ffe62c2	2018-08-09 06:27:35	-47	231	-151
000000007ffe62c2	2018-08-09 06:27:36	-35	197	-135
000000007ffe62c2	2018-08-09 06:27:36	-38	221	-147
000000007ffe62c2	2018-08-09 06:27:36	-36	210	-136
000000007ffe62c2	2018-08-09 06:27:36	-39	224	-131
000000007ffe62c2	2018-08-09 06:27:37	-21	221	-131
000000007ffe62c2	2018-08-09 06:27:37	-26	224	-139
000000007ffe62c2	2018-08-09 06:27:37	-13	240	-139
000000007ffe62c2	2018-08-09 06:27:37	-40	244	-129
000000007ffe62c2	2018-08-09 06:27:38	-20	235	-141
000000007ffe62c2	2018-08-09 06:27:38	-36	240	-141
000000007ffe62c2	2018-08-09 06:27:38	-29	255	-129
000000007ffe62c2	2018-08-09 06:27:38	-22	224	-132
000000007ffe62c2	2018-08-09 06:27:39	-10	241	-124
000000007ffe62c2	2018-08-09 06:27:39	-29	224	-129
000000007ffe62c2	2018-08-09 06:27:39	-22	215	-143
000000007ffe62c2	2018-08-09 06:27:39	-32	214	-128
000000007ffe62c2	2018-08-09 06:27:40	-30	252	-127
000000007ffe62c2	2018-08-09 06:27:41	-18	237	-137
000000007ffe62c2	2018-08-09 06:27:42	-14	246	-129
000000007ffe62c2	2018-08-09 06:27:42	-22	253	-167
000000007ffe62c2	2018-08-09 06:27:42	-28	229	-154
000000007ffe62c2	2018-08-09 06:27:42	-23	211	-132
000000007ffe62c2	2018-08-09 06:27:43	-19	206	-108
000000007ffe62c2	2018-08-09 06:27:43	-22	234	-132
000000007ffe62c2	2018-08-09 06:27:43	-24	247	-142
000000007ffe62c2	2018-08-09 06:27:43	-20	246	-114
000000007ffe62c2	2018-08-09 06:27:44	-32	229	-108
000000007ffe62c2	2018-08-09 06:27:44	-27	251	-129
000000007ffe62c2	2018-08-09 06:27:44	-20	227	-145
000000007ffe62c2	2018-08-09 06:27:44	-39	236	-155
000000007ffe62c2	2018-08-09 06:27:45	-34	239	-123
000000007ffe62c2	2018-08-09 06:27:45	-29	244	-155
000000007ffe62c2	2018-08-09 06:27:45	-16	248	-158
000000007ffe62c2	2018-08-09 06:27:46	-9	240	-134
000000007ffe62c2	2018-08-09 06:27:46	-27	263	-122
000000007ffe62c2	2018-08-09 06:27:46	-34	248	-117
000000007ffe62c2	2018-08-09 06:27:46	-31	207	-137
000000007ffe62c2	2018-08-09 06:27:47	-23	218	-131
000000007ffe62c2	2018-08-09 06:27:47	0	212	-129
000000007ffe62c2	2018-08-09 06:27:47	-5	230	-135
000000007ffe62c2	2018-08-09 06:27:47	-17	201	-153
000000007ffe62c2	2018-08-09 06:27:48	-27	249	-126
000000007ffe62c2	2018-08-09 06:27:48	-45	222	-147
000000007ffe62c2	2018-08-09 06:27:48	-33	252	-153
000000007ffe62c2	2018-08-09 06:27:48	-2	259	-129
000000007ffe62c2	2018-08-09 06:27:49	-6	224	-131
000000007ffe62c2	2018-08-09 06:27:49	-27	229	-129
000000007ffe62c2	2018-08-09 06:27:49	-35	256	-201
000000007ffe62c2	2018-08-09 06:27:49	-26	251	-131
000000007ffe62c2	2018-08-09 06:27:50	-31	240	-136
000000007ffe62c2	2018-08-09 06:27:50	-26	244	-135
000000007ffe62c2	2018-08-09 06:27:50	-23	252	-147
000000007ffe62c2	2018-08-09 06:27:51	-35	234	-121
000000007ffe62c2	2018-08-09 06:27:51	-18	230	-136
000000007ffe62c2	2018-08-09 06:27:51	-40	203	-117
000000007ffe62c2	2018-08-09 06:27:52	-27	271	-130
000000007ffe62c2	2018-08-09 06:27:52	-19	212	-132
000000007ffe62c2	2018-08-09 06:27:52	-41	247	-140
000000007ffe62c2	2018-08-09 06:27:52	-29	237	-138
000000007ffe62c2	2018-08-09 06:27:53	-23	223	-120
000000007ffe62c2	2018-08-09 06:27:53	-27	240	-117
000000007ffe62c2	2018-08-09 06:27:53	-29	227	-123
000000007ffe62c2	2018-08-09 06:27:53	-42	195	-103
000000007ffe62c2	2018-08-09 06:27:54	-38	232	-138
000000007ffe62c2	2018-08-09 06:27:54	-21	222	-142
000000007ffe62c2	2018-08-09 06:27:54	-24	235	-123
000000007ffe62c2	2018-08-09 06:27:55	-35	261	-117
000000007ffe62c2	2018-08-09 06:27:55	-37	232	-113
